ÝLÇE;ALAN;OKUL ADI;2022;2023;2024;2025 Tahmin
KEÇÝÖREN (MERKEZ);ÇOCUK GELÝÞÝMÝ VE EÐÝTÝMÝ ALANI (SINAVLI);Kalaba Kýz Mesleki ve Teknik Anadolu Lisesi;0;0;57.35;
ÇANKAYA (MERKEZ);LABORATUVAR HÝZMETLERÝ ALANI;Borsa Ýstanbul Mehmet Akif Ersoy Mesleki ve Teknik Anadolu Lisesi;43.19;48.96;60.31;
ÇANKAYA (MERKEZ);ENDÜSTRÝYEL OTOMASYON TEKNOLOJÝLERÝ ALANI;Balgat Mesleki ve Teknik Anadolu Lisesi;52.48;47.93;60.32;
PURSAKLAR;ÇOCUK GELÝÞÝMÝ VE EÐÝTÝMÝ ALANI;Pursaklar Kýz Mesleki ve Teknik Anadolu Lisesi;0;0;60.62;
BEYPAZARI;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI (SINAVLI);Beypazarý Fatih Mesleki ve Teknik Anadolu Lisesi;62.62;65.64;61.23;
MAMAK (MERKEZ);ENDÜSTRÝYEL OTOMASYON TEKNOLOJÝLERÝ ALANI;Ege Mesleki ve Teknik Anadolu Lisesi;0;52.63;61.64;
KEÇÝÖREN (MERKEZ);MUHASEBE VE FÝNANSMAN ALANI;Aydýnlýkevler Mesleki ve Teknik Anadolu Lisesi;47.3;49.48;62.4;
ÇANKAYA (MERKEZ);RADYO-TELEVÝZYON ALANI;Türk Telekom Mesleki ve Teknik Anadolu Lisesi;40.68;39.4;63.63;
BEYPAZARI;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Beypazarý Þehit Sefa Tiftik Anadolu Ýmam Hatip Lisesi;92.87;96.22;63.67;
KEÇÝÖREN (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Baðlum Þehit Yakup Çapat Anadolu Ýmam Hatip Lisesi;83.36;84.4;67.31;
SÝNCAN (MERKEZ);MUHASEBE VE FÝNANSMAN ALANI (SINAVLI);Sincan Ahmet Andiçen Mesleki ve Teknik Anadolu Lisesi;0;65.35;68.05;
KAHRAMANKAZAN;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Kahramankazan Kýz Anadolu Ýmam Hatip Lisesi;60.79;61.72;68.36;
ALTINDAÐ (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;Altýndað Mesleki ve Teknik Anadolu Lisesi;74.53;69.53;68.97;
GÖLBAÞI;YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);Mogan Mesleki ve Teknik Anadolu Lisesi;74.86;63.66;69.32;
ÇANKAYA (MERKEZ);YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);Çankaya Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;99.7;81.34;69.76;
GÖLBAÞI;KONAKLAMA VE SEYAHAT HÝZMETLERÝ ALANI (SINAVLI);Mogan Mesleki ve Teknik Anadolu Lisesi;74.86;63.66;70.07;
YENÝMAHALLE (MERKEZ);HARÝTA-TAPU-KADASTRO ALANI;Mimar Sinan Mesleki ve Teknik Anadolu Lisesi;44.19;46.8;71.61;
ETÝMESGUT (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Baðlýca Þehit Kalender Özdemir Anadolu Ýmam Hatip Lisesi;61.53;57.33;74.79;
YENÝMAHALLE (MERKEZ);RADYO-TELEVÝZYON ALANI (SINAVLI);Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;75.79;
MAMAK (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Türközü Oðuzhan Mesleki ve Teknik Anadolu Lisesi;80.89;82.27;76.56;
GÖLBAÞI;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Mehmet Akif Ersoy Anadolu Ýmam Hatip Lisesi;55.34;59.8;79.68;
AYAÞ;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Abdülhamid Han Anadolu Ýmam Hatip Lisesi;83.61;71.07;80.02;
NALLIHAN;TARIM ALANI;Nallýhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi;72.73;90.71;80.8;
YENÝMAHALLE (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Çiðdemtepe Þehit Mehmet Coþkun Kýlýç Mesleki ve Teknik Anadolu Lisesi;80.45;74.91;83.01;
MAMAK (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Battalgazi Mesleki ve Teknik Anadolu Lisesi;77.6;72.45;86.82;
