İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ
KEÇİÖREN (MERKEZ),Mustafa Asım Köksal Anadolu İmam Hatip Lisesi,33.09,30.45,26.0,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
YENİMAHALLE (MERKEZ),Şehit Murat Üçöz Mesleki ve Teknik Anadolu Lisesi,0.0,26.43,26.15,,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Plastk),0.0,27.21,26.54,,PLASTİK TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı
YENİMAHALLE (MERKEZ),Uluslararası Prof.Dr.Muhammed Hamidullah Anadolu İmam Hatip Lisesi,26.05,25.34,26.89,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
MAMAK (MERKEZ),Prof. Dr. Rağıp Üner Mesleki ve Teknik Anadolu Lisesi,27.3,27.02,27.77,,SAĞLIK HİZMETLERİ ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Batıkent Şehit Demet Sezen Kız Anadolu İmam Hatip Lisesi,20.39,17.99,28.01,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,28.63,,BİLİŞİM TEKNOLOJİLERİ ALANI (SINAVLI),Anadolu Meslek Programı
POLATLI,Polatlı Mesleki ve Teknik Anadolu Lisesi,35.29,34.65,31.29,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
SİNCAN (MERKEZ),Sincan Anadolu İmam Hatip Lisesi,29.71,31.91,31.58,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
YENİMAHALLE (MERKEZ),Ostim Şehit Alper Zor Mesleki ve Teknik Anadolu Lisesi,40.81,35.24,31.88,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
KEÇİÖREN (MERKEZ),Kanuni Mesleki ve Teknik Anadolu Lisesi,34.74,30.96,31.89,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
KIZILCAHAMAM,Bizim Anadolu Vakfı Gürcan Kız Anadolu İmam Hatip Lisesi,0.0,0.0,32.01,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
SİNCAN (MERKEZ),Şehit Özgür Can İnce Mesleki ve Teknik Anadolu Lisesi,41.24,38.2,33.42,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ÇANKAYA (MERKEZ),Özel Harekat Şehitleri Anadolu İmam Hatip Lisesi,53.26,41.14,33.87,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
KEÇİÖREN (MERKEZ),Keçiören Anadolu İmam Hatip Lisesi,34.85,36.46,34.52,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
GÖLBAŞI,Uluslararası Millî İrade Kız Anadolu İmam Hatip Lisesi,66.01,42.89,34.89,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
