İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,OKUL TÜRÜ,ALAN
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,50.99,,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI)
YENİMAHALLE (MERKEZ),Mehmet Rüştü Uzel Mesleki ve Teknik Anadolu Lisesi,62.8,57.42,51.76,,Anadolu Teknik Programı,KİMYA TEKNOLOJİSİ ALANI
KEÇİÖREN (MERKEZ),Şehit Mehmet Karakaşoğlu Mesleki ve Teknik Anadolu Lisesi,52.26,49.93,52.5,,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI
ALTINDAĞ (MERKEZ),Atatürk Mesleki ve Teknik Anadolu Lisesi,55.43,56.25,54.43,,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI)
MAMAK (MERKEZ),Ege Mesleki ve Teknik Anadolu Lisesi,0.0,52.63,54.85,,Anadolu Teknik Programı,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI
SİNCAN (MERKEZ),Başkent OSB Mesleki ve Teknik Anadolu Lisesi,0.0,51.97,55.52,,Anadolu Meslek Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI (SINAVLI)
AKYURT,Akyurt Şükrü Acar Anadolu İmam Hatip Lisesi,33.51,87.47,56.28,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
KEÇİÖREN (MERKEZ),Kalaba Kız Mesleki ve Teknik Anadolu Lisesi,0.0,0.0,57.35,,Anadolu Meslek Programı,ÇOCUK GELİŞİMİ VE EĞİTİMİ ALANI (SINAVLI)
ÇANKAYA (MERKEZ),Borsa İstanbul Mehmet Akif Ersoy Mesleki ve Teknik Anadolu Lisesi,43.19,48.96,60.31,,Anadolu Teknik Programı,LABORATUVAR HİZMETLERİ ALANI
ÇANKAYA (MERKEZ),Balgat Mesleki ve Teknik Anadolu Lisesi,52.48,47.93,60.32,,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI
PURSAKLAR,Pursaklar Kız Mesleki ve Teknik Anadolu Lisesi,0.0,0.0,60.62,,Anadolu Teknik Programı,ÇOCUK GELİŞİMİ VE EĞİTİMİ ALANI
BEYPAZARI,Beypazarı Fatih Mesleki ve Teknik Anadolu Lisesi,62.62,65.64,61.23,,Anadolu Meslek Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI)
MAMAK (MERKEZ),Ege Mesleki ve Teknik Anadolu Lisesi,0.0,52.63,61.64,,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI
KEÇİÖREN (MERKEZ),Aydınlıkevler Mesleki ve Teknik Anadolu Lisesi,47.3,49.48,62.4,,Anadolu Teknik Programı,MUHASEBE VE FİNANSMAN ALANI
