ÝLÇE;OKUL ADI;2022 Yüzdelik;2023 Yüzdelik;2024 Yüzdelik;2025 Tahmin ;TÜR;ALAN;;;;;;;;
SÝNCAN (MERKEZ);Þehit Özgür Can Ýnce Mesleki ve Teknik Anadolu Lisesi;41.24;38.2;35.98;;Anadolu Teknik Programý;MOTORLU ARAÇLAR TEKNOLOJÝSÝ ALANI;;;;;;;;
ÇUBUK;Fatih Sultan Mehmet Mesleki ve Teknik Anadolu Lisesi;48.89;47.5;37.17;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
ALTINDAÐ (MERKEZ);Mahir Ýz Anadolu Ýmam Hatip Lisesi;43.66;41.88;37.92;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ALTINDAÐ (MERKEZ);Ýskitler Mesleki ve Teknik Anadolu Lisesi;57.6;50.83;37.95;;Anadolu Teknik Programý;ENDÜSTRÝYEL OTOMASYON TEKNOLOJÝLERÝ ALANI;;;;;;;;
PURSAKLAR;Güzide Ülker Mesleki ve Teknik Anadolu Lisesi;40.56;39.5;39.18;;Anadolu Teknik Programý;ULAÞTIRMA HÝZMETLERÝ ALANI;;;;;;;;
SÝNCAN (MERKEZ);Þehit Erdal Koçak Mesleki ve Teknik Anadolu Lisesi;37.32;40.23;40.41;;Anadolu Teknik Programý;ADALET ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Tapu Kadastro Mesleki ve Teknik Anadolu Lisesi;37.37;39.37;40.94;;Anadolu Teknik Programý;HARÝTA-TAPU-KADASTRO ALANI;;;;;;;;
MAMAK (MERKEZ);Abidinpaþa Mesleki ve Teknik Anadolu Lisesi;36.69;43.24;43.19;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
MAMAK (MERKEZ);Abidinpaþa Mesleki ve Teknik Anadolu Lisesi;36.69;43.24;43.71;;Anadolu Teknik Programý;BÝYOMEDÝKAL CÝHAZ TEKNOLOJÝLERÝ ALANI;;;;;;;;
ALTINDAÐ (MERKEZ);Ulus Mesleki ve Teknik Anadolu Lisesi;51.73;48.64;44.54;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
